misc,17

addi,694
slti,6
sltiu,7
xori,1
ori,2
andi,54
slli,313
srai,39
li,380
lui,307
auipc,84
add,72
sub,22
sll,2
xor,7
or,11
and,1
addiw,269
slliw,2
sraiw,2
slli,313
srli,22
srai,39
addw,4
subw,3
c.add,2
c.li,10
c.lui,12
c.mv,3
c.slli,7
mv,157
not,1
neg,2
sext.w,18
jal,75
jalr,13
beq,19
bne,13
blt,16
bge,13
bltu,13
bgeu,19
bgez,2
bgtz,2
blez,3
bltz,3
bnez,114
beqz,125
j,139
jr,4
ret,29
mret,1
lb,8
lh,8
lw,623
lbu,32
lhu,5
sb,20
sh,1
sw,231
ld,634
sd,255
lwu,6
divu,1
remu,2
csrrw,6
csrrs,7
csrrc,7
csrrwi,5
csrrsi,10
csrrci,8
csrs,2
csrr,5
csrw,3
fscsr,1
flw,12
fsw,13
fmadd.s,5
fmsub.s,13
fnmsub.s,14
fnmadd.s,12
fadd.s,2
fdiv.s,1
fmv.w.x,32
fld,635
fsd,210
fmadd.d,5
fmsub.d,11
fnmsub.d,16
fnmadd.d,11
fadd.d,1
fdiv.d,2
fence,4
c.nop,13


total instructions,6489

integer computation,2951
branching,600
memory access,1869
mul and div,3
csr,54
floating point operations,995
misc,17

addi,713
slti,6
sltiu,7
xori,1
ori,2
andi,66
slli,327
srai,34
li,381
lui,308
auipc,88
add,92
sub,16
sll,2
xor,7
or,11
and,1
addiw,269
slliw,2
sraiw,2
slli,327
srli,21
srai,34
addw,4
subw,3
srlw,10
c.add,2
c.li,10
c.lui,12
c.mv,3
c.slli,7
mv,157
not,2
neg,2
sext.w,22
jal,75
jalr,13
beq,19
bne,15
blt,11
bge,9
bltu,15
bgeu,22
bgez,2
bgtz,2
blez,3
bltz,3
bnez,114
beqz,125
j,138
jr,4
ret,29
mret,1
lb,8
lh,8
lw,620
lbu,32
lhu,5
sb,20
sh,1
sw,222
ld,670
sd,277
lwu,6
divu,1
remu,2
csrrw,6
csrrs,7
csrrc,7
csrrwi,5
csrrsi,10
csrrci,8
csrs,2
csrr,5
csrw,3
fscsr,1
flw,12
fsw,13
fmadd.s,5
fmsub.s,13
fnmsub.s,14
fnmadd.s,12
fadd.s,2
fdiv.s,1
fmv.w.x,32
fld,635
fsd,210
fmadd.d,5
fmsub.d,11
fnmsub.d,16
fnmadd.d,11
fadd.d,1
fdiv.d,2
fence,4
c.nop,13


total instructions,999

integer computation,507
branching,188
memory access,226
mul and div,3
csr,11
floating point operations,60
misc,4

addi,114
ori,1
andi,10
slli,25
srai,1
li,107
lui,5
auipc,40
add,32
sub,8
or,6
and,1
addiw,23
slliw,3
srliw,2
slli,25
srli,3
srai,1
addw,6
subw,5
mv,78
not,1
neg,2
sext.w,8
jal,18
jalr,12
beq,10
bne,12
blt,4
bge,3
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,4
bltz,2
bnez,19
beqz,17
j,39
jr,1
ret,28
mret,1
lw,13
lbu,28
sb,8
sw,5
ld,72
sd,99
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
fmv.w.x,32
fld,15
fsd,1
fmadd.d,5
fadd.d,3
feq.d,2
fmv.d.x,2
fence,4


total instructions,1143

integer computation,512
branching,225
memory access,356
mul and div,3
csr,11
floating point operations,32
misc,4

addi,119
ori,1
andi,10
slli,11
srai,1
li,128
lui,3
auipc,37
add,16
sub,8
or,6
and,1
addiw,31
slliw,2
slli,11
srli,1
srai,1
addw,4
subw,3
sllw,1
mv,104
not,1
neg,2
sext.w,10
jal,22
jalr,12
beq,14
bne,9
blt,4
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,9
bltz,2
bnez,30
beqz,17
j,46
jr,1
ret,39
mret,1
lw,29
lbu,28
sb,8
sw,41
ld,102
sd,147
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
fmv.w.x,32
fence,4


total instructions,103211

integer computation,10587
branching,670
memory access,28601
mul and div,3
csr,56034
floating point operations,7310
misc,6

addi,2519
xori,2
ori,1
andi,10
slli,13
srai,1
li,5256
lui,37
auipc,37
add,18
sub,9
xor,28
or,6
and,1
addiw,19
slliw,2
slli,13
srli,1
srai,1
addw,5
subw,3
c.li,2521
mv,73
not,1
neg,2
sext.w,8
jal,102
jalr,12
beq,10
bne,9
blt,4
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,3
bltz,248
bnez,20
beqz,17
j,197
jr,1
ret,27
mret,1
lw,16866
lbu,1030
sb,8
sw,3633
ld,3583
sd,3480
lwu,1
divu,1
remu,2
csrs,2
csrr,5
